Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000071356,Reg3b,0.14364818717319935,0.0,0.0,170875,37.697430565085675,1450
ENSMUSG00000032083,Apoa1,0.13800931099721048,0.0,0.0,49868,8.54870250032483,1173
ENSMUSG00000023057,Fabp2,0.1363362727440575,0.0,0.0,80214,12.980255788712823,1230
ENSMUSG00000061780,Cfd,0.1361665900943391,0.0,0.0,1083,0.12805796939120026,381
ENSMUSG00000010505,Myt1,0.13065997962680276,0.0,0.0,4,0.0002257375886713475,4
ENSMUSG00000030017,Reg3g,0.12989902265726866,0.0,0.0,97876,20.603619187272276,1353
ENSMUSG00000027559,Car3,0.12714011868529781,0.0,0.0,238,0.02621662039889712,115
ENSMUSG00000039062,Anpep,0.1188330965554851,0.0,0.0,14216,2.785765690942095,1027
ENSMUSG00000064213,Defa24,0.11585554334783253,0.0,0.0,49648,10.762312347758217,1231
ENSMUSG00000049350,Zg16,0.11289724096024299,0.0,0.0,45561,8.668445406580837,1202
ENSMUSG00000020405,Fabp6,0.11136932347903532,0.0,0.0,152957,33.09055687220291,1397
ENSMUSG00000074444,Defa30,0.1096355464973686,0.0,0.0,23064,4.685260827812199,1105
ENSMUSG00000029134,Plb1,0.10962478425131095,0.0,0.0,1338,0.18110016303542825,501
ENSMUSG00000032085,Tagln,0.10764843981934673,0.0,0.0,3445,0.44561304394052437,615
ENSMUSG00000030587,2200002D01Rik,0.10415566838597314,0.0,0.0,21384,3.734670664216519,1074
ENSMUSG00000025467,Prap1,0.10209038486688335,0.0,0.0,9254,1.7683651996078866,958
ENSMUSG00000035775,Krt20,0.1016670492794721,0.0,0.0,16332,3.307863167345616,1057
ENSMUSG00000022824,Muc13,0.0968918038927999,0.0,0.0,21826,4.2805360229008125,1100
ENSMUSG00000049382,Krt8,0.09525931371391025,0.0,0.0,30587,5.996342245815135,1159
ENSMUSG00000067818,Myl9,0.09475152945778531,0.0,0.0,7332,1.084074703026837,823
ENSMUSG00000024503,Spink1,0.09407253036750875,0.0,0.0,19224,3.9158311919389757,1088
ENSMUSG00000015568,Lpl,0.0933545582992343,0.0,0.0,96,0.009285171923548,69
ENSMUSG00000013643,Lypd8,0.09295172791123878,0.0,0.0,22921,4.6218815146287,1129
ENSMUSG00000064373,Selenop,0.09174259555417014,0.0,0.0,17253,3.2693965075299776,1072
ENSMUSG00000032038,St3gal4,0.09159045764590959,0.0,0.0,9667,1.6142929125446055,948
ENSMUSG00000018569,Cldn7,0.09158150309243553,0.0,0.0,15341,3.258743773358826,1073
ENSMUSG00000029322,Plac8,0.08984590248308053,0.0,0.0,8477,1.5193774411852088,950
ENSMUSG00000025515,Muc2,0.08838071645014038,0.0,0.0,17573,3.588683817526953,1094
ENSMUSG00000097887,Gm26542,0.08808811869879644,0.0,0.0,2,5.470881762380906e-05,2
ENSMUSG00000047730,Fcgbp,0.08800479731216615,0.0,0.0,12987,2.532506036903546,1045
ENSMUSG00000006360,Crip1,0.08660862589666794,0.0,0.0,70038,12.023008315822619,1243
ENSMUSG00000041959,S100a10,0.08615899647447317,0.0,0.0,10471,1.8971211615843433,989
ENSMUSG00000035686,Thrsp,0.08574051869487724,0.0,0.0,87,0.00866755854132499,58
ENSMUSG00000024029,Tff3,0.0844410191647208,0.0,0.0,25627,4.883966396658801,1123
ENSMUSG00000045394,Epcam,0.08371204842013333,0.0,0.0,15856,3.178849867521782,1067
ENSMUSG00000030364,Clec2h,0.08286441417711739,0.0,0.0,10978,2.3016192833943796,1011
ENSMUSG00000028415,Spink4,0.0828098973453752,0.0,0.0,18617,4.032092702230134,1114
ENSMUSG00000020609,Apob,0.0824761917286133,0.0,0.0,5420,0.8367550154313526,827
ENSMUSG00000078439,Smim24,0.0820405033292511,0.0,0.0,7835,1.3982151199466077,940
ENSMUSG00000018830,Myh11,0.08189742730438432,0.0,0.0,4299,0.6235509374935789,725
ENSMUSG00000044894,Uqcrq,0.08152705965492395,0.0,0.0,6283,1.108484539438568,891
ENSMUSG00000046804,Phgr1,0.08053450974532106,0.0,0.0,17461,3.0394273599597623,1051
ENSMUSG00000094084,Tdpoz1,0.08042490440954143,0.0,0.0,2,9.8809072241166e-05,2
ENSMUSG00000079808,AC168977.1,0.08015595799072943,0.0,0.0,4,0.0010537125334725674,4
ENSMUSG00000027556,Car1,0.08006418666863162,0.0,0.0,74,0.0414664435265861,63
ENSMUSG00000031886,Ces2e,0.0795364040964639,0.0,0.0,5749,1.1060815110162716,914
ENSMUSG00000074227,Spint2,0.07940243808840318,0.0,0.0,6116,1.0224457270690743,913
ENSMUSG00000064351,mt-Co1,0.07938987201205787,0.0,0.0,25173,4.989151192463117,1120
ENSMUSG00000074443,Defa22,0.07866391997485205,0.0,0.0,4444,1.0559550672768414,817
ENSMUSG00000074115,Saa1,0.07865991125525221,0.0,0.0,9583,2.0195978619757624,989
ENSMUSG00000033161,Atp1a1,0.07756867113648754,0.0,0.0,5761,1.160874577732061,910
ENSMUSG00000064358,mt-Co3,0.07752719458462007,0.0,0.0,30594,6.670022061529208,1193
ENSMUSG00000035783,Acta2,0.07710329739502549,0.0,0.0,7585,1.2958646135642846,848
ENSMUSG00000031818,Cox4i1,0.07670050019043693,0.0,0.0,9758,1.9398154054580465,992
ENSMUSG00000063229,Ldha,0.07553812121763814,0.0,0.0,7947,1.400801653716644,936
ENSMUSG00000060802,B2m,0.07553485853992753,0.0,0.0,14660,3.1252020241637477,1054
ENSMUSG00000061232,H2-K1,0.07537737445944252,0.0,0.0,12932,2.4347905027823322,1022
ENSMUSG00000026417,Pigr,0.07490031297577804,0.0,0.0,12374,2.819372905171851,1044
ENSMUSG00000053862,Slc51b,0.07443664274062736,0.0,0.0,6072,1.2755207858400295,903
ENSMUSG00000034994,Eef2,0.07314557798375707,0.0,0.0,6705,1.2346034627355236,919
ENSMUSG00000034918,Cdhr2,0.07258447630740111,0.0,0.0,5473,0.9752630471221099,884
ENSMUSG00000001025,S100a6,0.07254982531826672,0.0,0.0,6565,1.0311161636424142,879
ENSMUSG00000001175,Calm1,0.07218260561145529,0.0,0.0,8531,1.717913276564395,970
ENSMUSG00000015932,Dstn,0.07182684121519149,0.0,0.0,13578,2.619526591368754,1020
ENSMUSG00000076609,Igkc,0.0716529819057986,0.0,0.0,48483,11.484604614860334,1257
ENSMUSG00000074884,Serf2,0.07092497390903406,0.0,0.0,8074,1.3596853313249746,933
ENSMUSG00000062515,Fabp4,0.07078335173681741,0.0,0.0,912,0.17300916478375253,380
ENSMUSG00000079523,Tmsb10,0.07077105875826183,0.0,0.0,6796,1.3041738790840862,914
ENSMUSG00000014313,Cox6c,0.07051873252506205,0.0,0.0,7787,1.522710832434785,959
ENSMUSG00000026175,Vil1,0.07018089955560083,0.0,0.0,9479,1.7743652542135218,975
ENSMUSG00000011034,Slc5a1,0.06997771165211777,0.0,0.0,3251,0.541361620637,790
ENSMUSG00000022836,Mylk,0.06993394498263192,0.0,0.0,4076,0.6355543640824629,760
ENSMUSG00000032081,Apoc3,0.0689629984214053,0.0,0.0,2178,0.3696457140398046,635
ENSMUSG00000032454,Rbp2,0.06882975039852061,0.0,0.0,3245,0.6577562331151875,733
ENSMUSG00000053964,Lgals4,0.06861311320251008,0.0,0.0,25744,5.278405747338521,1144
ENSMUSG00000091956,C2cd4b,0.06852726583917108,0.0,0.0,16,0.001798009258821366,16
ENSMUSG00000000308,Ckmt1,0.06830255284344451,0.0,0.0,3628,0.6985955319844288,841
ENSMUSG00000024661,Fth1,0.0679905048294949,0.0,0.0,20208,4.327309194902682,1107
ENSMUSG00000028255,Clca1,0.06780599465323402,0.0,0.0,9936,1.9215168306692518,992
ENSMUSG00000038209,Itln1,0.06746296059053404,0.0,0.0,13261,2.476830198032198,1014
ENSMUSG00000020911,Krt19,0.0674035560632004,2.220446049250313e-16,3.6910645480230203e-14,10500,2.4136387934615953,1030
ENSMUSG00000074195,Clca4b,0.06696403231857818,2.220446049250313e-16,3.6910645480230203e-14,7228,1.285025216820762,922
ENSMUSG00000021390,Ogn,0.06690290764580649,0.0,0.0,268,0.03468943401313175,200
ENSMUSG00000028464,Tpm2,0.06671871619342168,2.220446049250313e-16,3.6910645480230203e-14,4566,0.6518699227741376,753
ENSMUSG00000026879,Gsn,0.06655958954625582,2.220446049250313e-16,3.6910645480230203e-14,2429,0.3920870736060565,701
ENSMUSG00000021771,Vdac2,0.06654583182181052,2.220446049250313e-16,3.6910645480230203e-14,2827,0.5071529896542072,772
ENSMUSG00000032366,Tpm1,0.06653879129826659,2.220446049250313e-16,3.6910645480230203e-14,6048,0.9003004992176836,841
ENSMUSG00000016252,Atp5e,0.06641850164050385,2.220446049250313e-16,3.6910645480230203e-14,7216,1.2670652924171657,904
ENSMUSG00000038274,Fau,0.06637605298959096,2.220446049250313e-16,3.6910645480230203e-14,13904,2.75335205988007,1042
ENSMUSG00000007892,Rplp1,0.06633639450435246,4.440892098500626e-16,7.242843641403663e-14,10676,2.2319845022156533,987
ENSMUSG00000057666,Gapdh,0.06580475232428198,4.440892098500626e-16,7.242843641403663e-14,5847,1.0693539398849812,885
ENSMUSG00000032231,Anxa2,0.06559615115151803,6.661338147750939e-16,1.0762730270870863e-13,7051,1.3170108133988692,936
ENSMUSG00000025497,Cdhr5,0.06501847285874592,1.3322676295501878e-15,2.0564502481842542e-13,7706,1.4161079926950133,943
ENSMUSG00000033972,Zfp944,0.06497992883886144,0.0,0.0,79,0.019027053982980005,72
ENSMUSG00000063694,Cycs,0.06496575838412898,1.1102230246251565e-15,1.7608748302495145e-13,4752,1.0227358509224764,887
ENSMUSG00000095079,Igha,0.06490819353839966,1.3322676295501878e-15,2.0564502481842542e-13,78462,16.749319058311862,1300
ENSMUSG00000037390,Muc3,0.06467814958448605,1.7763568394002505e-15,2.670404959961003e-13,9808,2.0161247535573885,979
ENSMUSG00000064341,mt-Nd1,0.06461568438751682,1.7763568394002505e-15,2.670404959961003e-13,5081,1.0387803788083003,872
ENSMUSG00000026208,Des,0.06379478515232427,3.3306690738754696e-15,4.963845426651648e-13,3133,0.49339980896052127,661
ENSMUSG00000023914,Mep1a,0.06370389132246752,3.774758283725532e-15,5.577608650345898e-13,4522,0.8479861548830863,829
ENSMUSG00000035539,Ccdc180,0.06367482129363511,0.0,0.0,3,0.0005399416254783622,3
ENSMUSG00000020407,Upp1,0.06333017061163028,6.217248937900877e-15,9.108796579527996e-13,5496,0.9827558189253577,890
ENSMUSG00000019505,Ubb,0.06332973103567763,6.439293542825908e-15,9.35483250154406e-13,8788,1.7537688563033516,955
ENSMUSG00000020581,Agr2,0.06304349137972029,8.215650382226158e-15,1.1836013650660485e-12,5917,1.2434449628798268,921
ENSMUSG00000042808,Gpx2,0.062454598825258154,1.4876988529977098e-14,2.1255651050102816e-12,8471,1.659228861401642,961
ENSMUSG00000069515,Lyz1,0.062219621102395165,1.9317880628477724e-14,2.7374386910255974e-12,14082,2.9657527708887903,1044
ENSMUSG00000107728,Gm38910,0.06214721650907951,0.0,0.0,25,0.005144479941481578,24
