Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000074446,Defa23,0.4612187474713825,0.0,0.0,12137,2.220513871769235,876
ENSMUSG00000094662,Defa36,0.2915064998487326,0.0,0.0,10299,1.8973965899654424,1139
ENSMUSG00000063206,Defa34,0.21432528070914414,0.0,0.0,984,0.18498616415328087,350
ENSMUSG00000064213,Defa24,0.21126065820403095,0.0,0.0,688974,138.58622720823317,2062
ENSMUSG00000079116,Gm15293,0.20628855779017416,0.0,0.0,2816,0.6395713124523741,714
ENSMUSG00000032085,Tagln,0.20382709001557794,0.0,0.0,19450,2.5010396668606245,1305
ENSMUSG00000027556,Car1,0.19749826820622068,0.0,0.0,29866,6.839491068772317,1646
ENSMUSG00000025002,Cyp2c55,0.18782091908604182,0.0,0.0,4546,0.9560177129122589,1117
ENSMUSG00000013653,1810065E05Rik,0.17024452255162006,0.0,0.0,7645,1.6113303647547779,1251
ENSMUSG00000074443,Defa22,0.16962200951031245,0.0,0.0,39143,7.823344098425083,1679
ENSMUSG00000026208,Des,0.16811014321270737,0.0,0.0,24785,3.5347010352112123,1464
ENSMUSG00000074440,Defa3,0.16543335730953937,0.0,0.0,16358,3.461475734763912,1462
ENSMUSG00000082211,Defa27,0.1653853696946368,0.0,0.0,1676,0.3272569999741682,584
ENSMUSG00000059430,Actg2,0.1637596592018743,0.0,0.0,54304,8.672588219509196,1678
ENSMUSG00000074447,Defa21,0.16345964612831115,0.0,0.0,23559,4.706050032727038,1569
ENSMUSG00000018830,Myh11,0.16224960372204558,0.0,0.0,30138,4.708465500625971,1528
ENSMUSG00000032454,Rbp2,0.1598707421569474,0.0,0.0,13520,2.60430360133101,1402
ENSMUSG00000035783,Acta2,0.15912404746256975,0.0,0.0,47346,7.895909358613074,1678
ENSMUSG00000067818,Myl9,0.1563068207741006,0.0,0.0,34948,5.286363711782356,1547
ENSMUSG00000027875,Hmgcs2,0.15576268200603552,0.0,0.0,2596,0.6829166708898106,942
ENSMUSG00000020405,Fabp6,0.15401028108959408,0.0,0.0,213743,47.197216229377716,1966
ENSMUSG00000074444,Defa30,0.15309031898961897,0.0,0.0,381991,77.37216588690542,2029
ENSMUSG00000074115,Saa1,0.15282314502727884,0.0,0.0,10490,2.1665754653011566,1355
ENSMUSG00000029309,Sparcl1,0.15041803989378594,0.0,0.0,8724,1.3821348632590527,1214
ENSMUSG00000001349,Cnn1,0.14868456722281884,0.0,0.0,26376,4.06081433445146,1502
